"Crear hora","Casa de apuestas","ID Padre","ID de usuario",Usuario,Tipo,"ID de transacción","Nombre de usuario del emisor",Moneda,Ingresos,Estado,Total,Comisión,Saldo,"Saldo actual",Billeteras,"Tipo de transacción","grupo causal",causal,"producto causal",Descripción,Nota,"Dirección IP"
"2026-08-28 05:55:59",geniusbet.sv,787533464,788670497,50379126984,"Player Online",115815703013,Sistema,USD,0.00,-0.1,-0.1,,2.01,1.91,SportBooks,Withdraw,"Actividad de apuestas/juegos","Betora Bet (2374)",Casino,"Joker Power Spin Hold and Win Bet",,
"2026-08-28 05:56:58",geniusbet.sv,787533464,788670497,50379126984,"Player Online",115815716684,Sistema,USD,0.25,0.00,0.25,,1.66,1.91,SportBooks,Deposit,"Actividad de apuestas/juegos","Betora Win (2375)",Casino,"Joker Power Spin Hold and Win Win",,
"2026-08-28 06:04:24",geniusbet.sv,787533464,788670497,50379126984,"Player Online",115815824051,50379126984shop,USD,0.00,-20,-20,,20.01,0.01,SportBooks,Withdraw,"Depósito - Retiro","Bank Transfer Withdraw Request (696)",Payments,"Solicitud de Retiro",,190.87.174.163
"2026-08-28 06:16:09",geniusbet.sv,787533464,788657180,50374129179,"Player Online",115815977741,50374129179shop,USD,0.00,-5,-5,,13.85,8.85,SportBooks,Withdraw,"Actividad de apuestas/juegos","Apuesta realizada (3)",Deporte,"Cupón: GSV-PWM95ZYXK-788657180",,190.150.168.236
"2026-08-28 06:32:04",geniusbet.sv,787533464,788670194,50375181992,"Player Online",115816169990,50375181992shop,USD,0.00,-5.9,-5.9,,105.9,100,SportBooks,Withdraw,"Actividad de apuestas/juegos","Apuesta realizada (3)",Deporte,"Cupón: GSV-MP59L4M2W-788670194",,179.5.88.25
"2026-08-28 05:59:24",geniusbet.sv,787533464,788670497,50379126984,"Player Online",115815751277,Sistema,USD,0.00,-0.1,-0.1,,20.21,20.11,SportBooks,Withdraw,"Actividad de apuestas/juegos","Betora Bet (2374)",Casino,"Joker Power Spin Hold and Win Bet",,
"2026-08-28 05:59:27",geniusbet.sv,787533464,788670497,50379126984,"Player Online",115815752198,Sistema,USD,0.00,-0.1,-0.1,,20.11,20.01,SportBooks,Withdraw,"Actividad de apuestas/juegos","Betora Bet (2374)",Casino,"Joker Power Spin Hold and Win Bet",,
"2026-08-28 05:55:57",geniusbet.sv,787533464,788670497,50379126984,"Player Online",115815702458,Sistema,USD,0.00,-0.1,-0.1,,2.11,2.01,SportBooks,Withdraw,"Actividad de apuestas/juegos","Betora Bet (2374)",Casino,"Joker Power Spin Hold and Win Bet",,
"2026-08-28 05:57:23",geniusbet.sv,787533464,788670497,50379126984,"Player Online",115815722543,Sistema,USD,0.00,-0.1,-0.1,,1.31,1.21,SportBooks,Withdraw,"Actividad de apuestas/juegos","Betora Bet (2374)",Casino,"Joker Power Spin Hold and Win Bet",,
"2026-08-28 05:58:13",geniusbet.sv,787533464,788670497,50379126984,"Player Online",115815734486,Sistema,USD,20,0.00,20,,0.91,20.91,SportBooks,Deposit,"Actividad de apuestas/juegos","Betora Win (2375)",Casino,"Joker Power Spin Hold and Win Win",,
